feature,importance
image_emb_81,2586.099936902523
text_emb_163,2585.777979552746
text_emb_26,2576.7148611545563
image_emb_487,2576.2569053173065
image_emb_68,2574.0492158532143
image_emb_210,2573.1846892237663
image_emb_110,2564.5441621541977
image_emb_130,2557.335550904274
text_emb_230,2556.2055520415306
image_emb_465,2537.042637169361
text_emb_144,2536.1146945357323
image_emb_374,2535.7507429122925
image_emb_72,2530.7495655417442
text_emb_82,2528.314830124378
text_emb_378,2525.484908759594
image_emb_429,2525.3324086666107
image_emb_410,2523.8686885237694
text_emb_34,2518.0249296426773
text_emb_52,2512.55458176136
image_emb_89,2512.3510994911194
image_emb_240,2510.7392607331276
text_emb_380,2506.2724243998528
image_emb_273,2505.2957920730114
text_emb_126,2504.326335966587
text_emb_106,2497.6467415094376
image_emb_321,2497.5725426077843
image_emb_511,2489.2796337008476
image_emb_474,2477.3846301436424
text_emb_216,2475.3459147810936
image_emb_69,2473.6014776825905
image_emb_257,2467.0478798747063
image_emb_143,2462.8339517712593
image_emb_270,2462.8301109075546
text_emb_114,2462.691351354122
image_emb_406,2462.2531789541245
text_emb_109,2460.824012339115
text_emb_168,2455.7229482531548
image_emb_25,2450.899381697178
image_emb_462,2450.719506919384
text_emb_255,2444.9475051164627
image_emb_269,2442.0228260159492
image_emb_248,2438.2649035453796
image_emb_351,2436.8478303551674
